,BUYER_STATE,BUYER_ZIP,BUYER_COUNTY,FIPS
1994,IL,61454,HENDERSON,17071
1995,HI,96725,HAWAII,15001
1996,CA,94924,MARIN,6041
1998,MD,21051,BALTIMORE,24005
2002,VA,22654,FREDERICK,51171
2006,TX,75223,DALLAS,48113
2012,SC,29733,YORK,45091
2013,AL,36503,ESCAMBIA,1053
2015,GA,30116,CARROLL,13045
2018,IA,52151,ALLAMAKEE,19005
2020,RI,2817,KENT,44003
2022,AL,36576,BALDWIN,1003
2023,MO,63365,SAINT CHARLES,29183
2024,TX,78401,NUECES,48355
2025,UT,84317,WEBER,49057
2026,PA,17327,YORK,42133
2027,TN,38050,CROCKETT,47033
2030,CA,94130,SAN FRANCISCO,6075
2032,IA,52358,CEDAR,19103
2035,GA,30002,DEKALB,13089
2039,MD,20871,MONTGOMERY,24031
2041,CO,80913,EL PASO,8041
2044,NJ,8730,MONMOUTH,34025
2046,IL,60425,COOK,17031
2052,ND,58108,CASS,38017
2053,PA,17555,LANCASTER,42071
2055,WI,54495,WOOD,55141
2056,CA,92261,RIVERSIDE,6065
2059,FL,32306,LEON,12073
2060,TX,77336,HARRIS,48201
2063,TX,75483,HOPKINS,48223
2064,SC,29075,NEWBERRY,45079
2068,PR,965,GUAYNABO,72061
2071,MA,1805,MIDDLESEX,25017
2075,AK,99762,NOME,2180
2076,NC,28080,LINCOLN,37109
2077,IL,60151,KANE,17089
2080,NC,28789,JACKSON,37173
2083,WI,54623,VERNON,55123
2084,MA,1354,FRANKLIN,25011
2086,CA,96009,LASSEN,6035
2088,ME,4664,HANCOCK,23009
2089,TN,37171,MONTGOMERY,47125
2091,OK,74840,POTTAWATOMIE,40133
2093,NJ,7822,SUSSEX,34037
2095,IN,47471,GREENE,18119
2098,PA,15026,BEAVER,42007
2100,IA,50244,STORY,19169
2101,NC,28135,ANSON,37179
2103,KY,40010,OLDHAM,21185
2105,NJ,7756,MONMOUTH,34025
2107,TX,77372,MONTGOMERY,48339
2110,CA,95117,SANTA CLARA,6085
2111,TN,37684,WASHINGTON,47179
2112,NC,27331,LEE,37105
2114,NM,87305,MCKINLEY,35031
2115,IN,47433,OWEN,18119
2116,OK,73131,OKLAHOMA,40109
2118,MI,48608,SAGINAW,26145
2121,OH,45880,PAULDING,39125
2123,MN,55373,WRIGHT,27171
2124,ME,4858,KNOX,23015
2126,GA,31568,CAMDEN,13039
2127,MI,48855,LIVINGSTON,26093
2130,TN,37020,BEDFORD,47127
2132,HI,96713,MAUI,15009
2133,CA,93614,MADERA,6039
2136,IA,52585,KEOKUK,19183
2139,PA,19522,BERKS,42011
2144,AK,99688,MATANUSKA SUSITNA,2170
2145,KS,66409,SHAWNEE,20177
2147,NJ,7848,SUSSEX,34037
2149,WI,54484,MARATHON,55119
2152,ME,4474,PENOBSCOT,23019
2154,MT,59469,JUDITH BASIN,30045
2155,TX,76633,MCLENNAN,48309
2156,AR,72303,CRITTENDEN,5037
2158,OR,97341,LINCOLN,41041
2159,FL,34945,SAINT LUCIE,12111
2160,IL,61250,WHITESIDE,17195
2161,CA,92609,ORANGE,6059
2163,WI,54631,CRAWFORD,55023
2166,CA,94940,MARIN,6041
2168,GA,31046,MONROE,13207
2169,IN,47443,GREENE,18119
2172,TX,75938,TYLER,48457
2173,WV,25402,BERKELEY,54003
2176,MA,2537,BARNSTABLE,25001
2178,MO,63436,RALLS,29173
2179,WI,54977,WAUPACA,55139
2182,ME,4042,YORK,23031
2183,IL,61238,HENRY,17073
2187,FL,33920,LEE,12071
2188,LA,70148,ORLEANS,22071
2189,SC,29438,COLLETON,45029
2190,TN,37618,SULLIVAN,47163
2192,TN,38163,SHELBY,47157
2194,TX,77807,BRAZOS,48395
